"dpmc","cpmc","cpjg","cpxl","splj","cppj"
"一加创华威专卖店","OnePlus/一加 A5010全面屏 双摄旗舰","¥3499.00","该款月成交 6209笔","https://detail.tmall.com/item.htm?id=562200214116&skuId=3529060577463&user_id=2432146763&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"诺基亚手机官方旗舰店","Nokia/诺基亚 75.2英寸高清IPS屏显","¥1999.00","该款月成交 6990笔","https://detail.tmall.com/item.htm?id=559980323091&skuId=3659763399371&user_id=3367335567&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"索尼官方旗舰店","Sony/索尼 G81424KHDR 高清屏幕","¥4999.00","该款月成交 362笔","https://detail.tmall.com/item.htm?id=550656854809&skuId=3357274824382&user_id=782731205&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"诺基亚手机官方旗舰店","Nokia/诺基亚 6 第二代Nokia 6 第二代 反正都值得","¥1699.00","该款月成交 1.0万笔","https://detail.tmall.com/item.htm?id=563392275719&skuId=3547701965674&user_id=3367335567&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"亿科美数码专营店","Meitu/美图 美图M8自拍美颜 全网通","¥2499.00","该款月成交 5748笔","https://detail.tmall.com/item.htm?id=550016061151&skuId=3367443976763&user_id=917067813&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"SONY手机官方旗舰店","Sony/索尼 Xperia XZ1","¥3999.00","该款月成交 355笔","https://detail.tmall.com/item.htm?id=560617551609&skuId=3669671107345&user_id=2528566607&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"金立手机旗舰店","Gionee/金立 M7安全双芯片 高清全面屏","¥2699.00","该款月成交 1525笔","https://detail.tmall.com/item.htm?id=558885637737&skuId=3522909212025&user_id=720912157&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"金立手机旗舰店","Gionee/金立 S115.99英寸全面屏、四摄","¥1799.00","该款月成交 739笔","https://detail.tmall.com/item.htm?id=561919219031&skuId=3526878741413&user_id=720912157&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"360手机旗舰店","360 N5S全网通6+64GB内存|骁龙653|前置双摄","¥1699.00","该款月成交 1934笔","https://detail.tmall.com/item.htm?id=554292261386&skuId=3682129883983&user_id=2067447407&cat_id=2&is_b=1&rn=1468fef90477adf695f250ab14245e4c",
"广东电信亿品汇专卖店","ZTE/中兴 Z999","¥4888.00","该款月成交 72笔","https://detail.tmall.com/item.htm?id=564490566946&skuId=3568144385075&user_id=2024314280&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"vivo智轩优品专卖店","vivo X20王者荣耀限量版6.01英寸全面屏 逆光也清晰","¥3498.00","该款月成交 414笔","https://detail.tmall.com/item.htm?id=562204902624&skuId=3528094492432&user_id=1999920158&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"同步飞扬数码专营店","Huawei/华为 Mate 9 6+128GB麒麟960芯片 徕卡双镜头","¥3538.00","该款月成交 444笔","https://detail.tmall.com/item.htm?id=542576714026&skuId=3731322347512&user_id=1800399917&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"博珏数码专营店","Xiaomi/小米 红米Note4 高配版全金属机身 十核旗舰处理器","¥859.00","该款月成交 1391笔","https://detail.tmall.com/item.htm?id=538241499857&skuId=3434251995818&user_id=865186036&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"oppo欧曙专卖店","OPPO A771600万臻美自拍","¥1599.00","该款月成交 357笔","https://detail.tmall.com/item.htm?id=556269108660&skuId=3662110658028&user_id=1715164541&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"岸越数码专营店","Xiaomi/小米 小米Note 25.7""双曲面屏 2256MP相机","¥2099.00","该款月成交 389笔","https://detail.tmall.com/item.htm?id=564281759323&skuId=3560432480615&user_id=872196368&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"八连星手机专营店","Huawei/华为 畅享6轻薄有型 电力十足 大广角镜头","¥708.00","该款月成交 2320笔","https://detail.tmall.com/item.htm?id=542249727940&skuId=3382850517452&user_id=1738953668&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"博珏数码专营店","Xiaomi/小米 小米Note大屏旗舰，HiFi 双卡双待","¥859.00","该款月成交 449笔","https://detail.tmall.com/item.htm?id=521550458111&skuId=3107172867120&user_id=865186036&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"小米创粤专卖店","Xiaomi/小米 小米MIX6.4""全面屏 全陶瓷机身 骁龙821","¥3299.00","该款月成交 272笔","https://detail.tmall.com/item.htm?id=558232809420&skuId=3556186465749&user_id=3112025040&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"岸越数码专营店","Xiaomi/小米 小米手机5S超感光相机 超声波指纹 骁龙821","¥1799.00","该款月成交 169笔","https://detail.tmall.com/item.htm?id=556962208410&skuId=3554184645301&user_id=872196368&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"八连星手机专营店","Huawei/华为 G9 青春版高清屏幕；护眼模式 ；出色摄像","¥748.00","该款月成交 531笔","https://detail.tmall.com/item.htm?id=542220184144&skuId=3258373405142&user_id=1738953668&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"魅族思潼专卖店","Meizu/魅族 魅蓝X平行空间系统","¥948.00","该款月成交 1077笔","https://detail.tmall.com/item.htm?id=542984660310&skuId=3265985764212&user_id=1061014296&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"酷派官方旗舰店","Coolpad/酷派 Cool S1骁龙821 专业音响硬件 持久续航","¥1249.00","该款月成交 1285笔","https://detail.tmall.com/item.htm?id=543073250747&skuId=3456849036103&user_id=2815133273&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"魅族思潼专卖店","Meizu/魅族 魅蓝5s全网通指纹支付全网通","¥688.00","该款月成交 2718笔","https://detail.tmall.com/item.htm?id=545514227729&skuId=3456706779013&user_id=1061014296&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"晋商兆睿数码专营店","Meizu/魅族 魅蓝5 全网通2.5D玻璃屏/正面指纹长续航","¥545.00","该款月成交 1463笔","https://detail.tmall.com/item.htm?id=544782213797&skuId=3283499112830&user_id=1124960044&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"剑涉数码专营店","Xiaomi/小米 红米 4a5""高清屏 3120mAh电池 13MP相机","¥549.00","该款月成交 1257笔","https://detail.tmall.com/item.htm?id=542004127663&skuId=3554393408100&user_id=831535574&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"盛世数码专营","Xiaomi/小米 红米4A5""高清屏 3120mAh电池 13MP相机","¥539.00","该款月成交 1442笔","https://detail.tmall.com/item.htm?id=547902137028&skuId=3485767587887&user_id=741055031&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"微工数码专营店","Meizu/魅族 PRO 6s 全网通光学防抖/十核4G大运存","¥1399.00","该款月成交 177笔","https://detail.tmall.com/item.htm?id=556669619060&skuId=3611499386126&user_id=1783883889&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"酷派官方旗舰店","Coolpad/酷派 C106千元定义 双摄像头","¥849.00","该款月成交 576笔","https://detail.tmall.com/item.htm?id=538293548217&skuId=3213971407932&user_id=2815133273&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"气樽数码专营店","Coolpad/酷派 C106-9黑白+彩色双1300万像素摄像头","¥598.00","该款月成交 1471笔","https://detail.tmall.com/item.htm?id=540366387873&skuId=3525506480096&user_id=742644724&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"久汇数码专营店","360 vizza4GB+32GB内存|4020mAh大电池","¥799.00","该款月成交 2122笔","https://detail.tmall.com/item.htm?id=557804552197&skuId=3628759831279&user_id=1659902905&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"小辣椒旗舰店","小辣椒 6p5.7英寸全面屏设计","¥899.00","该款月成交 1426笔","https://detail.tmall.com/item.htm?id=561743586823&skuId=3570457040169&user_id=2011807058&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"中国移动官方旗舰店","Meizu/魅族 PRO 6 全网通3D Press按压触控/2116万后镜头","¥1469.00","该款月成交 209笔","https://detail.tmall.com/item.htm?id=529719190669&skuId=3482109778931&user_id=1776456424&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"华飞数码专营店","honor/荣耀 畅玩6全网通","¥529.00","该款月成交 850笔","https://detail.tmall.com/item.htm?id=558100600007&skuId=3468284941706&user_id=1657780380&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"小辣椒旗舰店","小辣椒 红辣椒 畅玩6A人脸识别 3+32GB","¥699.00","该款月成交 1505笔","https://detail.tmall.com/item.htm?id=562051087103&skuId=3534898764513&user_id=2011807058&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"Apple Store 官方旗舰店","Apple/苹果 iPhone X","¥8388.00",,"https://detail.tmall.com/item.htm?id=560257961625&skuId=4611686578685349529&user_id=1917047079&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"Apple Store 官方旗舰店","Apple/苹果 iPhone 6s","¥3788.00",,"https://detail.tmall.com/item.htm?id=521875831541&skuId=4611686540303219445&user_id=1917047079&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"苏宁易购官方旗舰店","Apple/苹果 iPhone 6","¥2149.00","该款月成交 3.0万笔","https://detail.tmall.com/item.htm?id=545246502913&skuId=3288266724665&user_id=2616970884&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"华为官方旗舰店","Huawei/华为 Mate 10 Pro全面屏 人工智能芯片","¥5399.00","该款月成交 1.7万笔","https://detail.tmall.com/item.htm?id=560952413462&skuId=3510338028292&user_id=2838892713&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"华为官方旗舰店","Huawei/华为 Mate 10 6G+128G新一代AI芯片徕卡双镜头","¥4499.00","该款月成交 1.5万笔","https://detail.tmall.com/item.htm?id=560065171365&skuId=3660323698109&user_id=2838892713&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"小米官方旗舰店","Xiaomi/小米 小米mix 2全面屏2.0   未来手机","¥3299.00","该款月成交 1.4万笔","https://detail.tmall.com/item.htm?id=557759288520&skuId=3556654760611&user_id=1714128138&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"苏宁易购官方旗舰店","OPPO R11S2000w智选美颜双摄","¥2999.00","该款月成交 3.8万笔","https://detail.tmall.com/item.htm?id=560461021243&skuId=3512723324753&user_id=2616970884&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"荣耀官方旗舰店","honor/荣耀 畅玩7X千元旗舰 全屏实力","¥1299.00","该款月成交 7.1万笔","https://detail.tmall.com/item.htm?id=559441419648&skuId=3698284211035&user_id=1114511827&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"荣耀官方旗舰店","honor/荣耀 荣耀V10AI智能 变焦双摄","¥2999.00","该款月成交 5.2万笔","https://detail.tmall.com/item.htm?id=562003579553&skuId=3724431519843&user_id=1114511827&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"小米官方旗舰店","Xiaomi/小米 红米518:9全面屏 柔光自拍","¥899.00","该款月成交 2.2万笔","https://detail.tmall.com/item.htm?id=562390304003&skuId=3535164641831&user_id=1714128138&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"三际数码官方旗舰店","honor/荣耀 畅玩6X千元双摄/大内存/持久长续航","¥1099.00","该款月成交 2408笔","https://detail.tmall.com/item.htm?id=540284934781&skuId=3523142745663&user_id=268451883&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
"三际数码官方旗舰店","Xiaomi/小米 红米手机4X4100mAh 超长续航","¥729.00","该款月成交 6518笔","https://detail.tmall.com/item.htm?id=545878858552&skuId=3518634248777&user_id=268451883&cat_id=2&is_b=1&rn=2b45bafec433f22f542240d2ce84ee9c",
